dataset,case_name,algorithm,pair_npz,result_file,status,elapsed_time_s,chosen_direction,point_rmse_forward_mm,point_rmse_inverse_mm,rmse_mm,mi,dice,asd_mm,assd_mm,hd95_mm,tre95_mm,tre_mean_mm,message
AbdomenMRCT_CT_MRI,AbdomenMRCT_0006__CT_to_MRI_mixed,ants,/data/bianfeng/yixueOT/new_code_test/experiment_batches/processed/AbdomenMRCT_CT_MRI/AbdomenMRCT_0006__CT_to_MRI_mixed.npz,/data/bianfeng/yixueOT/new_code_test/compare_results/ants/AbdomenMRCT_CT_MRI/AbdomenMRCT_0006__CT_to_MRI_mixed_ants.npz,success,3.0607118606567383,inverse,17.09409940305799,14.48009220655519,nan,0.09502165977789784,0.4193641844947313,13.639736427082033,17.213338442440623,46.8187996428785,nan,nan,
AbdomenMRCT_CT_MRI,AbdomenMRCT_0007__CT_to_MRI_mixed,modified,/data/bianfeng/yixueOT/new_code_test/experiment_batches/processed/AbdomenMRCT_CT_MRI/AbdomenMRCT_0007__CT_to_MRI_mixed.npz,/data/bianfeng/yixueOT/new_code_test/registration_results/modified/data/AbdomenMRCT_0007_CT_to_MRI_mixed_result.mat,success,0.636527,forward,13.624634284825218,60.2955014735252,nan,0.07476982778324318,0.6140128952051771,11.334687004181365,9.643061934652877,24.819347291981714,nan,nan,
AbdomenMRCT_CT_MRI,AbdomenMRCT_0007__CT_to_MRI_mixed,modified_full,/data/bianfeng/yixueOT/new_code_test/experiment_batches/processed/AbdomenMRCT_CT_MRI/AbdomenMRCT_0007__CT_to_MRI_mixed.npz,/data/bianfeng/yixueOT/new_code_test/registration_results/modified_full/data/AbdomenMRCT_0007_CT_to_MRI_mixed_result.mat,success,1.913099,forward,13.703360729216417,58.22748088223733,nan,0.0692329330753568,0.6232129636594703,11.234517103240156,9.45051223535469,25.37715508089904,nan,nan,
AbdomenMRCT_CT_MRI,AbdomenMRCT_0007__CT_to_MRI_mixed,random_baseline,/data/bianfeng/yixueOT/new_code_test/experiment_batches/processed/AbdomenMRCT_CT_MRI/AbdomenMRCT_0007__CT_to_MRI_mixed.npz,/data/bianfeng/yixueOT/new_code_test/registration_results/random_baseline/data/AbdomenMRCT_0007_CT_to_MRI_mixed_result.mat,success,0.469205,forward,13.461116784737891,59.91066615276403,nan,0.0721575534327748,0.6143926706338365,11.243762616652981,9.565174719855596,24.413111231467404,nan,nan,
AbdomenMRCT_CT_MRI,AbdomenMRCT_0007__CT_to_MRI_mixed,icp,/data/bianfeng/yixueOT/new_code_test/experiment_batches/processed/AbdomenMRCT_CT_MRI/AbdomenMRCT_0007__CT_to_MRI_mixed.npz,/data/bianfeng/yixueOT/new_code_test/compare_results/icp/AbdomenMRCT_CT_MRI/AbdomenMRCT_0007__CT_to_MRI_mixed_icp.npz,success,2.706794261932373,forward,14.306059224774616,54.37883249762875,nan,0.07320323146236757,0.6358903502173517,11.420570682839921,9.470419256604611,26.832815729997478,nan,nan,
AbdomenMRCT_CT_MRI,AbdomenMRCT_0007__CT_to_MRI_mixed,fgr,/data/bianfeng/yixueOT/new_code_test/experiment_batches/processed/AbdomenMRCT_CT_MRI/AbdomenMRCT_0007__CT_to_MRI_mixed.npz,/data/bianfeng/yixueOT/new_code_test/compare_results/fgr/AbdomenMRCT_CT_MRI/AbdomenMRCT_0007__CT_to_MRI_mixed_fgr.npz,success,0.42994213104248047,forward,16.86236705883243,60.074400154399015,nan,0.03755780143926917,0.5879467802527978,12.856195041482115,10.665738788277153,32.37282811247729,nan,nan,
AbdomenMRCT_CT_MRI,AbdomenMRCT_0007__CT_to_MRI_mixed,ants,/data/bianfeng/yixueOT/new_code_test/experiment_batches/processed/AbdomenMRCT_CT_MRI/AbdomenMRCT_0007__CT_to_MRI_mixed.npz,/data/bianfeng/yixueOT/new_code_test/compare_results/ants/AbdomenMRCT_CT_MRI/AbdomenMRCT_0007__CT_to_MRI_mixed_ants.npz,success,3.283626079559326,forward,23.534610069072556,36.94947388147466,nan,0.12301918071074795,0.44166214680765986,19.163354396066,16.895019442177805,44.58699361921591,nan,nan,
AbdomenMRCT_CT_MRI,AbdomenMRCT_0008__CT_to_MRI_mixed,modified,/data/bianfeng/yixueOT/new_code_test/experiment_batches/processed/AbdomenMRCT_CT_MRI/AbdomenMRCT_0008__CT_to_MRI_mixed.npz,/data/bianfeng/yixueOT/new_code_test/registration_results/modified/data/AbdomenMRCT_0008_CT_to_MRI_mixed_result.mat,success,0.675018,forward,7.52747861636644,17.652751122350637,nan,0.14913712783018615,0.7943973404118239,5.7918136303137295,5.313133766895707,14.142135623730951,nan,nan,
AbdomenMRCT_CT_MRI,AbdomenMRCT_0008__CT_to_MRI_mixed,modified_full,/data/bianfeng/yixueOT/new_code_test/experiment_batches/processed/AbdomenMRCT_CT_MRI/AbdomenMRCT_0008__CT_to_MRI_mixed.npz,/data/bianfeng/yixueOT/new_code_test/registration_results/modified_full/data/AbdomenMRCT_0008_CT_to_MRI_mixed_result.mat,success,2.138312,forward,7.418007290395322,17.810966769192586,nan,0.14032987347558643,0.8022999845391564,5.6034436154051095,5.123570250597476,13.564659966250536,nan,nan,
AbdomenMRCT_CT_MRI,AbdomenMRCT_0008__CT_to_MRI_mixed,random_baseline,/data/bianfeng/yixueOT/new_code_test/experiment_batches/processed/AbdomenMRCT_CT_MRI/AbdomenMRCT_0008__CT_to_MRI_mixed.npz,/data/bianfeng/yixueOT/new_code_test/registration_results/random_baseline/data/AbdomenMRCT_0008_CT_to_MRI_mixed_result.mat,success,0.477365,forward,7.563432045984112,19.072288211026226,nan,0.12899281378851785,0.7997423225937071,5.722523969600423,5.171853736678587,14.142135623730951,nan,nan,
AbdomenMRCT_CT_MRI,AbdomenMRCT_0008__CT_to_MRI_mixed,icp,/data/bianfeng/yixueOT/new_code_test/experiment_batches/processed/AbdomenMRCT_CT_MRI/AbdomenMRCT_0008__CT_to_MRI_mixed.npz,/data/bianfeng/yixueOT/new_code_test/compare_results/icp/AbdomenMRCT_CT_MRI/AbdomenMRCT_0008__CT_to_MRI_mixed_icp.npz,success,1.616164207458496,forward,7.784605336062629,17.341919421575035,nan,0.14797931559006294,0.8074527301643399,5.572227126892151,4.999771231677845,12.806248474865697,nan,nan,
AbdomenMRCT_CT_MRI,AbdomenMRCT_0008__CT_to_MRI_mixed,fgr,/data/bianfeng/yixueOT/new_code_test/experiment_batches/processed/AbdomenMRCT_CT_MRI/AbdomenMRCT_0008__CT_to_MRI_mixed.npz,/data/bianfeng/yixueOT/new_code_test/compare_results/fgr/AbdomenMRCT_CT_MRI/AbdomenMRCT_0008__CT_to_MRI_mixed_fgr.npz,success,0.3794558048248291,forward,7.652927217962264,18.559372485025214,nan,0.14271146359570877,0.7898817860738363,5.915713792129984,5.43215345212313,14.142135623730951,nan,nan,
AbdomenMRCT_CT_MRI,AbdomenMRCT_0008__CT_to_MRI_mixed,ants,/data/bianfeng/yixueOT/new_code_test/experiment_batches/processed/AbdomenMRCT_CT_MRI/AbdomenMRCT_0008__CT_to_MRI_mixed.npz,/data/bianfeng/yixueOT/new_code_test/compare_results/ants/AbdomenMRCT_CT_MRI/AbdomenMRCT_0008__CT_to_MRI_mixed_ants.npz,success,3.7193994522094727,inverse,14.187586189064039,8.938680891431387,nan,0.14557836173375632,0.7160512916800124,7.814922147661224,7.314440794929655,16.73320053068151,nan,nan,
